20:03:08 [INFO] Found game object: Start
20:03:08 [INFO] Found game object: EndScreenManager
20:03:08 [INFO] Found game object: Quit
20:03:08 [INFO] Found game object: Player
20:03:08 [INFO] Found game object: EventSystem
20:03:08 [INFO] Found game object: Main Camera
20:03:08 [INFO] Found game object: Buttons
20:03:08 [INFO] Found game object: Text (TMP)
20:03:08 [INFO] Found game object: Image
20:03:08 [INFO] Found game object: Text
20:03:08 [INFO] Found game object: Text
20:03:08 [INFO] Found game object: Canvas
20:03:08 [INFO] Found scene: Lobby
20:03:08 [INFO] Found game object: PlayerSpawn
20:03:08 [INFO] Found game object: ChangeLvlPortal
20:03:08 [INFO] Found game object: ScoreManager
20:03:08 [INFO] Found game object: Light 2D
20:03:08 [INFO] Found game object: PermenantUpgradeManager
20:03:08 [INFO] Found game object: Canvas
20:03:08 [INFO] Found game object: Lobby
20:03:08 [INFO] Found game object: SpellChest (1)
20:03:08 [INFO] Found game object: CapeChest
20:03:08 [INFO] Found game object: DontDestroyManager
20:03:08 [INFO] Found game object: GameManager
20:03:08 [INFO] Found game object: SoulStand (1)
20:03:08 [INFO] Found game object: Dummy
20:03:08 [INFO] Found game object: EventSystem
20:03:08 [INFO] Found game object: SoulStand (2)
20:03:08 [INFO] Found game object: SoulStand
20:03:08 [INFO] Found game object: Player
20:03:08 [INFO] Found game object: SpellChest
20:03:08 [INFO] Found game object: LuckyCatSoul
20:03:08 [INFO] Found game object: ShopRandomSpell
20:03:08 [INFO] Found game object: ShopSlotUnlock1
20:03:08 [INFO] Found game object: ShopSlotUnlock1 (1)
20:03:08 [INFO] Found game object: TurtleSoul
20:03:08 [INFO] Found scene: Lvl1
20:03:08 [INFO] Found game object: ProjectilePool
20:03:08 [INFO] Found game object: MageSkullPool
20:03:08 [INFO] Found game object: EventSystem
20:03:08 [INFO] Found game object: PortalParent
20:03:08 [INFO] Found game object: ArcherSkeletonPool
20:03:08 [INFO] Found game object: DemonSkeletonPool
20:03:08 [INFO] Found game object: Enemies
